Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,College,1,1,Medium,Female,High,Sales Executive,Very High,5993,19479,8,11,Excellent,Low,8,Bad,6,4,0,5
49,No,Travel_Frequently,Research & Development,8,Below College,1,2,High,Male,Medium,Research Scientist,Medium,5130,24907,1,23,Outstanding,Very High,10,Better,10,7,1,7
37,Yes,Travel_Rarely,Research & Development,2,College,1,4,Very High,Male,Medium,Laboratory Technician,High,2090,2396,6,15,Excellent,Medium,7,Better,0,0,0,0
33,No,Travel_Frequently,Research & Development,3,Master,1,5,Very High,Female,High,Research Scientist,High,2909,23159,1,11,Excellent,High,8,Better,8,7,3,0
27,No,Travel_Rarely,Research & Development,2,Below College,1,7,Low,Male,High,Laboratory Technician,Medium,3468,16632,9,12,Excellent,Very High,6,Better,2,2,2,2
32,No,Travel_Frequently,Research & Development,2,College,1,8,Very High,Male,High,Laboratory Technician,Very High,3068,11864,0,13,Excellent,High,8,Good,7,7,3,6
59,No,Travel_Rarely,Research & Development,3,Bachelor,1,10,High,Female,Very High,Laboratory Technician,Low,2670,9964,4,20,Outstanding,Low,12,Good,1,0,0,0
30,No,Travel_Rarely,Research & Development,24,Below College,1,11,Very High,Male,High,Laboratory Technician,High,2693,13335,1,22,Outstanding,Medium,1,Better,1,0,0,0
38,No,Travel_Frequently,Research & Development,23,Bachelor,1,12,Very High,Male,Medium,Manufacturing Director,High,9526,8787,0,21,Outstanding,Medium,10,Better,9,7,1,8
36,No,Travel_Rarely,Research & Development,27,Bachelor,1,13,High,Male,High,Healthcare Representative,High,5237,16577,6,13,Excellent,Medium,17,Good,7,7,7,7
35,No,Travel_Rarely,Research & Development,16,Bachelor,1,14,Low,Male,Very High,Laboratory Technician,Medium,2426,16479,0,13,Excellent,High,6,Better,5,4,0,3
29,No,Travel_Rarely,Research & Development,15,College,1,15,Very High,Female,Medium,Laboratory Technician,High,4193,12682,0,12,Excellent,Very High,10,Better,9,5,0,8
31,No,Travel_Rarely,Research & Development,26,Below College,1,16,Low,Male,High,Research Scientist,High,2911,15170,1,17,Excellent,Very High,5,Good,5,2,4,3
34,No,Travel_Rarely,Research & Development,19,College,1,18,Medium,Male,High,Laboratory Technician,Very High,2661,8758,0,11,Excellent,High,3,Better,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,24,Bachelor,1,19,High,Male,Medium,Laboratory Technician,High,2028,12947,5,14,Excellent,Medium,6,Better,4,2,0,3
29,No,Travel_Rarely,Research & Development,21,Master,1,20,Medium,Female,Very High,Manufacturing Director,Low,9980,10195,1,11,Excellent,High,10,Better,10,9,8,8
32,No,Travel_Rarely,Research & Development,5,College,1,21,Low,Male,Very High,Research Scientist,Medium,3298,15053,0,12,Excellent,Very High,7,Good,6,2,0,5
22,No,Non-Travel,Research & Development,16,College,1,22,Very High,Male,Very High,Laboratory Technician,Very High,2935,7324,1,13,Excellent,Medium,1,Good,1,0,0,0
53,No,Travel_Rarely,Sales,2,Master,1,23,Low,Female,Medium,Manager,Very High,15427,22021,2,16,Excellent,High,31,Better,25,8,3,7
38,No,Travel_Rarely,Research & Development,2,Bachelor,1,24,Very High,Male,High,Research Scientist,Very High,3944,4306,5,11,Excellent,High,6,Better,3,2,1,2
24,No,Non-Travel,Research & Development,11,College,1,26,Low,Female,Very High,Manufacturing Director,High,4011,8232,0,18,Excellent,Very High,5,Good,4,2,1,3
36,Yes,Travel_Rarely,Sales,9,Master,1,27,High,Male,Medium,Sales Representative,Low,3407,6986,7,23,Outstanding,Medium,10,Better,5,3,0,3
34,No,Travel_Rarely,Research & Development,7,Master,1,28,Low,Female,High,Research Director,Medium,11994,21293,0,11,Excellent,High,13,Better,12,6,2,11
21,No,Travel_Rarely,Research & Development,15,College,1,30,High,Male,High,Research Scientist,Very High,1232,19281,1,14,Excellent,Very High,0,Better,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,Below College,1,31,Medium,Male,High,Research Scientist,Low,2960,17102,2,11,Excellent,High,8,Better,4,2,1,3
53,No,Travel_Rarely,Research & Development,5,Bachelor,1,32,High,Female,High,Manager,High,19094,10735,4,11,Excellent,Very High,26,Good,14,13,4,8
32,Yes,Travel_Frequently,Research & Development,16,Below College,1,33,Medium,Female,Low,Research Scientist,Low,3919,4681,1,22,Outstanding,Medium,10,Better,10,2,6,7
42,No,Travel_Rarely,Sales,8,Master,1,35,High,Male,High,Sales Executive,Medium,6825,21173,0,11,Excellent,Very High,10,Better,9,7,4,2
44,No,Travel_Rarely,Research & Development,7,Master,1,36,Low,Female,Medium,Healthcare Representative,Very High,10248,2094,3,14,Excellent,Very High,24,Better,22,6,5,17
46,No,Travel_Rarely,Sales,2,Master,1,38,Medium,Female,High,Manager,Low,18947,22822,3,12,Excellent,Very High,22,Good,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,Bachelor,1,39,High,Male,High,Laboratory Technician,Very High,2496,6670,4,11,Excellent,Very High,7,Better,1,1,0,0
44,No,Travel_Rarely,Research & Development,10,Master,1,40,Very High,Male,High,Healthcare Representative,Very High,6465,19121,2,13,Excellent,Very High,9,Best,4,2,1,3
30,No,Travel_Rarely,Research & Development,9,College,1,41,Very High,Male,Medium,Laboratory Technician,High,2206,16117,1,13,Excellent,Low,10,Better,10,0,1,8
39,Yes,Travel_Rarely,Sales,5,Bachelor,1,42,Very High,Male,High,Sales Representative,Very High,2086,3335,3,14,Excellent,High,19,Best,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,1,Bachelor,1,45,Medium,Male,High,Research Scientist,Very High,2293,3020,2,16,Excellent,Low,6,Good,2,0,2,0
43,No,Travel_Rarely,Research & Development,2,College,1,46,Very High,Female,Very High,Research Scientist,High,2645,21923,1,12,Excellent,Very High,6,Good,5,3,1,4
50,Yes,Travel_Rarely,Sales,3,College,1,47,Low,Male,Medium,Sales Representative,High,2683,3810,1,14,Excellent,High,3,Better,3,2,0,2
35,No,Travel_Rarely,Sales,2,Bachelor,1,49,Very High,Female,High,Sales Representative,Very High,2014,9687,1,13,Excellent,Low,2,Better,2,2,2,2
36,No,Travel_Rarely,Research & Development,5,Master,1,51,Medium,Female,Medium,Research Scientist,Low,3419,13072,9,14,Excellent,Very High,6,Best,1,1,0,0
33,No,Travel_Frequently,Sales,1,Bachelor,1,52,High,Female,Very High,Sales Executive,Low,5376,3193,2,19,Excellent,Low,10,Better,5,3,1,3
35,No,Travel_Rarely,Research & Development,4,College,1,53,High,Male,High,Laboratory Technician,Very High,1951,10910,1,12,Excellent,High,1,Better,1,0,0,0
27,No,Travel_Rarely,Research & Development,2,Master,1,54,Very High,Female,High,Laboratory Technician,Low,2341,19715,1,13,Excellent,Very High,1,Better,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,25,Bachelor,1,55,Low,Male,Low,Laboratory Technician,High,2293,10558,1,12,Excellent,High,1,Good,1,0,0,1
27,No,Travel_Frequently,Sales,8,Bachelor,1,56,Very High,Male,High,Sales Executive,High,8726,2975,1,15,Excellent,Very High,9,Better,9,8,1,7
30,No,Travel_Frequently,Research & Development,1,College,1,57,High,Female,High,Laboratory Technician,Very High,4011,10781,1,23,Outstanding,Very High,12,Better,12,8,3,7
41,Yes,Travel_Rarely,Research & Development,12,Bachelor,1,58,Medium,Female,High,Research Director,High,19545,16280,1,12,Excellent,Very High,23,Better,22,15,15,8
34,No,Non-Travel,Sales,23,Master,1,60,Medium,Male,High,Sales Executive,High,4568,10034,0,20,Outstanding,High,10,Better,9,5,8,7
37,No,Travel_Rarely,Research & Development,19,College,1,61,Medium,Male,High,Research Scientist,Medium,3022,10227,4,21,Outstanding,Low,8,Better,1,0,0,0
46,No,Travel_Frequently,Sales,5,Master,1,62,Low,Male,High,Sales Executive,Very High,5772,20445,4,21,Outstanding,High,14,Better,9,6,0,8
35,No,Travel_Rarely,Research & Development,8,Below College,1,63,Very High,Male,Very High,Laboratory Technician,Very High,2269,4892,1,19,Excellent,Very High,1,Better,1,0,0,1
48,Yes,Travel_Rarely,Research & Development,1,College,1,64,Low,Male,Medium,Laboratory Technician,High,5381,19294,9,13,Excellent,Very High,23,Better,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,5,Master,1,65,High,Male,High,Laboratory Technician,High,3441,11179,1,13,Excellent,High,2,Good,2,2,2,2
44,No,Travel_Rarely,Sales,1,Doctor,1,68,Medium,Female,High,Sales Executive,Low,5454,4009,5,21,Outstanding,High,9,Good,4,3,1,3
35,No,Non-Travel,Research & Development,11,College,1,70,High,Male,Medium,Healthcare Representative,Low,9884,8302,2,13,Excellent,High,10,Better,4,0,2,3
26,No,Travel_Rarely,Sales,23,Bachelor,1,72,High,Female,Medium,Sales Executive,Very High,4157,21436,7,19,Excellent,High,5,Good,2,2,0,0
33,No,Travel_Frequently,Research & Development,1,College,1,73,Low,Female,High,Research Director,Very High,13458,15146,1,12,Excellent,High,15,Better,15,14,8,12
35,No,Travel_Frequently,Sales,18,Doctor,1,74,Medium,Male,High,Sales Executive,Low,9069,11031,1,22,Outstanding,Very High,9,Good,9,8,1,8
35,No,Travel_Rarely,Research & Development,23,Master,1,75,High,Female,High,Laboratory Technician,Low,4014,16002,3,15,Excellent,High,4,Better,2,2,2,2
31,No,Travel_Rarely,Research & Development,7,Master,1,76,Very High,Male,High,Laboratory Technician,Very High,5915,9528,3,22,Outstanding,Very High,10,Good,7,7,1,7
37,No,Travel_Rarely,Research & Development,1,Master,1,77,Low,Male,Medium,Manufacturing Director,High,5993,2689,1,18,Excellent,High,7,Best,7,5,0,7
32,No,Travel_Rarely,Research & Development,1,Bachelor,1,78,Low,Male,High,Manufacturing Director,Very High,6162,10877,1,22,Outstanding,Medium,9,Better,9,8,7,8
38,No,Travel_Frequently,Research & Development,29,Doctor,1,79,Very High,Female,High,Laboratory Technician,Very High,2406,5456,1,11,Excellent,Very High,10,Better,10,3,9,9
50,No,Travel_Rarely,Research & Development,7,College,1,80,Medium,Female,Medium,Research Director,High,18740,16701,5,12,Excellent,Very High,29,Good,27,3,13,8
59,No,Travel_Rarely,Sales,25,Bachelor,1,81,Low,Female,High,Sales Executive,Low,7637,2354,7,11,Excellent,Very High,28,Good,21,16,7,9
36,No,Travel_Rarely,Research & Development,8,Bachelor,1,83,High,Female,High,Healthcare Representative,High,10096,8202,1,13,Excellent,Medium,17,Better,17,14,12,8
55,No,Travel_Rarely,Research & Development,8,Bachelor,1,84,Very High,Female,High,Manager,High,14756,19730,2,14,Excellent,High,21,Better,5,0,0,2
36,No,Travel_Frequently,Research & Development,11,Bachelor,1,85,Medium,Male,Medium,Manufacturing Director,Medium,6499,22656,1,13,Excellent,High,6,Better,6,5,0,3
45,No,Travel_Rarely,Research & Development,7,Bachelor,1,86,Medium,Male,High,Research Scientist,Low,9724,18787,2,17,Excellent,High,25,Better,1,0,0,0
35,No,Travel_Frequently,Research & Development,1,Bachelor,1,88,Medium,Male,High,Research Scientist,Low,2194,5868,4,13,Excellent,Very High,5,Good,3,2,1,2
36,Yes,Travel_Rarely,Research & Development,9,Bachelor,1,90,Very High,Male,Medium,Research Scientist,High,3388,21777,0,17,Excellent,Low,2,Good,1,0,0,0
59,No,Travel_Frequently,Sales,1,Below College,1,91,Low,Female,Medium,Sales Executive,High,5473,24668,7,11,Excellent,Very High,20,Good,4,3,1,3
29,No,Travel_Rarely,Research & Development,2,Bachelor,1,94,High,Male,High,Research Scientist,Medium,2703,4956,0,23,Outstanding,Very High,6,Better,5,4,0,4
31,No,Travel_Rarely,Research & Development,1,Master,1,95,High,Male,High,Research Scientist,Medium,2501,18775,1,17,Excellent,Medium,1,Better,1,1,1,0
32,No,Travel_Rarely,Research & Development,1,Bachelor,1,96,Medium,Male,High,Research Scientist,Medium,6220,7346,1,17,Excellent,Medium,10,Better,10,4,0,9
36,No,Travel_Rarely,Research & Development,6,Bachelor,1,97,Medium,Female,Very High,Laboratory Technician,Very High,3038,22002,3,12,Excellent,Medium,5,Better,1,0,0,0
31,No,Travel_Rarely,Research & Development,8,Master,1,98,High,Female,High,Manufacturing Director,Very High,4424,20682,1,23,Outstanding,Very High,11,Better,11,7,1,8
35,No,Travel_Rarely,Sales,1,Master,1,100,High,Male,Medium,Sales Executive,Low,4312,23016,0,14,Excellent,Medium,16,Better,15,13,2,8
45,No,Travel_Rarely,Research & Development,6,Master,1,101,Very High,Male,High,Research Director,Low,13245,15067,4,14,Excellent,Medium,17,Best,0,0,0,0
37,No,Travel_Rarely,Research & Development,7,Master,1,102,Low,Male,High,Research Director,High,13664,25258,4,13,Excellent,Low,16,Best,5,2,0,2
46,No,Travel_Rarely,Human Resources,5,College,1,103,Medium,Male,High,Human Resources,Medium,5021,10425,8,22,Outstanding,Very High,16,Better,4,2,0,2
30,No,Travel_Rarely,Research & Development,1,Below College,1,104,Very High,Male,Medium,Laboratory Technician,Very High,5126,15998,1,12,Excellent,High,10,Good,10,8,3,0
35,No,Travel_Rarely,Research & Development,1,Bachelor,1,105,Medium,Male,Medium,Research Scientist,High,2859,26278,1,18,Excellent,Low,6,Better,6,4,0,4
55,No,Travel_Rarely,Sales,1,College,1,106,Low,Male,High,Sales Executive,Very High,10239,18092,3,14,Excellent,Very High,24,Better,1,0,1,0
38,No,Non-Travel,Research & Development,6,Bachelor,1,107,Medium,Female,Low,Research Scientist,Very High,5329,15717,7,12,Excellent,Very High,17,Better,13,11,1,9
34,No,Travel_Rarely,Research & Development,1,College,1,110,Low,Male,High,Manufacturing Director,Medium,4325,17736,1,15,Excellent,High,5,Better,5,2,1,3
56,No,Travel_Rarely,Research & Development,7,Bachelor,1,112,Very High,Male,Low,Manufacturing Director,Very High,7260,21698,4,11,Excellent,Low,37,Good,6,4,0,2
23,No,Travel_Rarely,Sales,2,Below College,1,113,High,Male,High,Sales Representative,Low,2322,9518,3,13,Excellent,High,3,Better,0,0,0,0
51,No,Travel_Rarely,Research & Development,9,Master,1,116,Very High,Male,High,Laboratory Technician,Very High,2075,18725,3,23,Outstanding,Medium,10,Better,4,2,0,3
30,No,Travel_Rarely,Research & Development,2,Bachelor,1,117,High,Male,Medium,Healthcare Representative,Very High,4152,15830,1,19,Excellent,Low,11,Better,11,10,10,8
46,Yes,Travel_Rarely,Sales,9,College,1,118,High,Male,Medium,Sales Executive,Very High,9619,13596,1,16,Excellent,Very High,9,Better,9,8,4,7
40,No,Travel_Frequently,Research & Development,1,Master,1,119,High,Male,Medium,Healthcare Representative,Medium,13503,14115,1,22,Outstanding,Very High,22,Good,22,3,11,11
